基金会名称,净资产,总支出,总收入,费用合计,label
广州农商银行太阳公益基金会,106765846.2,9234696.15,8606491.05,9234696.15,2
广州市南山自然科学学术交流基金会,61442540.27,5592519.26,2976630.05,5592519.26,2
广州市振兴粤剧基金会,314162592.4,16075185.63,10740066.65,17407455.02,2
广州市禁毒基金会,121047633.6,6786202.22,9511789.28,6786202.22,2
广州市羊城志愿服务基金会,10958259.95,21125072.99,20128088.28,21108915.22,8
广州市职工济难基金会,435111681.7,87171197.48,105416021.4,88076805.7,6
广州市青少年发展基金会,123452494.5,64577823.73,78025074.98,64577833.32,5
广西吕贻标爱心基金会,20292585.97,2497170.95,12666284,2360035.49,4
广西国海扶贫助学基金会,9066862.45,737578.2,379632.02,511390.07,2
广西壮族自治区扶贫基金会,70936202.37,8290296.99,6977862.95,8290296.99,2
广西壹方慈善基金会,6557954.8,9009201.88,9060711.31,9009201.88,8
广西妇女儿童发展基金会,21568645.48,23613614.86,25507586.72,23613614.86,1
广西李宁基金会,15225505.67,6640856.28,8150439.84,6640856.28,7
广西桂嘉汇青少年儿童救助基金会,21894744.5,2381644.96,2000000,2983640.94,2
广西民族大学教育基金会,10459906.43,26376273.8,29736299.78,129364578.8,9
广西荣和爱心基金会,12222293.11,1854904,65078.01,1855100,2
延安教科文发展基金会,11042756.54,475511.61,557612.67,475511.61,2
建德市老龄事业发展基金会,11443826.01,1753159.03,2232051.9,1753159.03,6
张家港市七里庙村利民基金会,7697204.55,3032884.5,213227.79,2003556.5,0
张家港市农联爱心基金会,9010483.35,781386.83,1043127.94,784300,2
德阳市关心下一代基金会,15299562.67,452802.9,2464904.55,452595.4,2
思利及人公益基金会,78836405.02,20005491.03,28636638.83,20005491.03,0
惠州市协和医疗救助基金会,3589624.36,176778.5,575388.86,176778.5,2
慈济慈善事业基金会,1023629451,286246732.3,453418831.4,286246732.3,0
成都市老龄事业发展基金会,22573997.43,3446722.68,4521400.74,3446722.68,6
扬州市翔宇妇女儿童基金会,11497930.6,2638743.7,4492332.81,2711455.7,0
招商局慈善基金会,170737127.3,124280353.6,134317230.3,124280353.6,5
攀枝花市关心下一代基金会,13827758.05,3862764.33,4201802.21,3862764.33,0
新疆妇女儿童发展基金会,88069130.74,64741935.93,75649016.18,64686704.93,1
新疆生产建设兵团青年创业增收基金会,5538378.33,2240,3420618.33,2240,4
